entry,subsystem,assembly,subassembly,component,metric
m_robotDrive/m_frontLeft/m_turnMotorCurrent,DRIVETRAIN,FRONT_LEFT,STEER,MOTOR,CURRENT
m_robotDrive/m_frontLeft/m_turnMotorTemp,DRIVETRAIN,FRONT_LEFT,STEER,MOTOR,TEMP
m_robotDrive/m_frontLeft/m_turnMotorVoltage,DRIVETRAIN,FRONT_LEFT,STEER,MOTOR,VOLTAGE
m_robotDrive/m_frontLeft/m_driveMotorCurrent,DRIVETRAIN,FRONT_LEFT,DRIVE,MOTOR,CURRENT
m_robotDrive/m_frontLeft/m_driveMotorTemp,DRIVETRAIN,FRONT_LEFT,DRIVE,MOTOR,TEMP
m_robotDrive/m_frontLeft/m_driveMotorVoltage,DRIVETRAIN,FRONT_LEFT,DRIVE,MOTOR,VOLTAGE
m_robotDrive/m_frontLeft/m_moduleSpeed,DRIVETRAIN,FRONT_LEFT,,,VELOCITY
m_robotDrive/m_frontLeft/m_modulePosition,DRIVETRAIN,FRONT_LEFT,,,POSITION
m_robotDrive/m_frontLeft/m_moduleDesiredSpeed,DRIVETRAIN,FRONT_LEFT,,,DESIRED_VELOCITY
m_robotDrive/m_frontLeft/m_moduleDesiredPosition,DRIVETRAIN,FRONT_LEFT,,,DESIRED_POSITION
m_robotDrive/m_frontRight/m_turnMotorCurrent,DRIVETRAIN,FRONT_RIGHT,STEER,MOTOR,CURRENT
m_robotDrive/m_frontRight/m_turnMotorTemp,DRIVETRAIN,FRONT_RIGHT,STEER,MOTOR,TEMP
m_robotDrive/m_frontRight/m_turnMotorVoltage,DRIVETRAIN,FRONT_RIGHT,STEER,MOTOR,VOLTAGE
m_robotDrive/m_frontRight/m_driveMotorCurrent,DRIVETRAIN,FRONT_RIGHT,DRIVE,MOTOR,CURRENT
m_robotDrive/m_frontRight/m_driveMotorTemp,DRIVETRAIN,FRONT_RIGHT,DRIVE,MOTOR,TEMP
m_robotDrive/m_frontRight/m_driveMotorVoltage,DRIVETRAIN,FRONT_RIGHT,DRIVE,MOTOR,VOLTAGE
m_robotDrive/m_frontRight/m_moduleSpeed,DRIVETRAIN,FRONT_RIGHT,,,VELOCITY
m_robotDrive/m_frontRight/m_modulePosition,DRIVETRAIN,FRONT_RIGHT,,,POSITION
m_robotDrive/m_frontRight/m_moduleDesiredSpeed,DRIVETRAIN,FRONT_RIGHT,,,DESIRED_VELOCITY
m_robotDrive/m_frontRight/m_moduleDesiredPosition,DRIVETRAIN,FRONT_RIGHT,,,DESIRED_POSITION
m_robotDrive/m_rearLeft/m_turnMotorCurrent,DRIVETRAIN,REAR_LEFT,STEER,MOTOR,CURRENT
m_robotDrive/m_rearLeft/m_turnMotorTemp,DRIVETRAIN,REAR_LEFT,STEER,MOTOR,TEMP
m_robotDrive/m_rearLeft/m_turnMotorVoltage,DRIVETRAIN,REAR_LEFT,STEER,MOTOR,VOLTAGE
m_robotDrive/m_rearLeft/m_driveMotorCurrent,DRIVETRAIN,REAR_LEFT,DRIVE,MOTOR,CURRENT
m_robotDrive/m_rearLeft/m_driveMotorTemp,DRIVETRAIN,REAR_LEFT,DRIVE,MOTOR,TEMP
m_robotDrive/m_rearLeft/m_driveMotorVoltage,DRIVETRAIN,REAR_LEFT,DRIVE,MOTOR,VOLTAGE
m_robotDrive/m_rearLeft/m_moduleSpeed,DRIVETRAIN,REAR_LEFT,,,VELOCITY
m_robotDrive/m_rearLeft/m_modulePosition,DRIVETRAIN,REAR_LEFT,,,POSITION
m_robotDrive/m_rearLeft/m_moduleDesiredSpeed,DRIVETRAIN,REAR_LEFT,,,DESIRED_VELOCITY
m_robotDrive/m_rearLeft/m_moduleDesiredPosition,DRIVETRAIN,REAR_LEFT,,,DESIRED_POSITION
m_robotDrive/m_rearRight/m_turnMotorCurrent,DRIVETRAIN,REAR_RIGHT,STEER,MOTOR,CURRENT
m_robotDrive/m_rearRight/m_turnMotorTemp,DRIVETRAIN,REAR_RIGHT,STEER,MOTOR,TEMP
m_robotDrive/m_rearRight/m_turnMotorVoltage,DRIVETRAIN,REAR_RIGHT,STEER,MOTOR,VOLTAGE
m_robotDrive/m_rearRight/m_driveMotorCurrent,DRIVETRAIN,REAR_RIGHT,DRIVE,MOTOR,CURRENT
m_robotDrive/m_rearRight/m_driveMotorTemp,DRIVETRAIN,REAR_RIGHT,DRIVE,MOTOR,TEMP
m_robotDrive/m_rearRight/m_driveMotorVoltage,DRIVETRAIN,REAR_RIGHT,DRIVE,MOTOR,VOLTAGE
m_robotDrive/m_rearRight/m_moduleSpeed,DRIVETRAIN,REAR_RIGHT,,,VELOCITY
m_robotDrive/m_rearRight/m_modulePosition,DRIVETRAIN,REAR_RIGHT,,,POSITION
m_robotDrive/m_rearRight/m_moduleDesiredSpeed,DRIVETRAIN,REAR_RIGHT,,,DESIRED_VELOCITY
