entry,camera,metric
INTAKE/pipelineIndexState,INTAKE,
INTAKE/driverMode,INTAKE,
INTAKE/latencyMillis,INTAKE,LATENCY
INTAKE/hasTarget,INTAKE,HAS_TARGET
INTAKE/targetPitch,INTAKE,
INTAKE/targetYaw,INTAKE,
INTAKE/targetArea,INTAKE,
INTAKE/targetSkew,INTAKE,
INTAKE/targetPose,INTAKE,
INTAKE/targetPixelsX,INTAKE,
INTAKE/targetPixelsY,INTAKE,
INTAKE/heartbeat,INTAKE,
OUTTAKE_RIGHT/pipelineIndexState,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/driverMode,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/latencyMillis,OUTTAKE_RIGHT,LATENCY
OUTTAKE_RIGHT/hasTarget,OUTTAKE_RIGHT,HAS_TARGET
OUTTAKE_RIGHT/targetPitch,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/targetYaw,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/targetArea,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/targetSkew,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/targetPose,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/targetPixelsX,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/targetPixelsY,OUTTAKE_RIGHT,
OUTTAKE_RIGHT/heartbeat,OUTTAKE_RIGHT,
OUTTAKE_LEFT/pipelineIndexState,OUTTAKE_LEFT,
OUTTAKE_LEFT/driverMode,OUTTAKE_LEFT,
OUTTAKE_LEFT/latencyMillis,OUTTAKE_LEFT,LATENCY
OUTTAKE_LEFT/hasTarget,OUTTAKE_LEFT,HAS_TARGET
OUTTAKE_LEFT/targetPitch,OUTTAKE_LEFT,
OUTTAKE_LEFT/targetYaw,OUTTAKE_LEFT,
OUTTAKE_LEFT/targetArea,OUTTAKE_LEFT,
OUTTAKE_LEFT/targetSkew,OUTTAKE_LEFT,
OUTTAKE_LEFT/targetPose,OUTTAKE_LEFT,
OUTTAKE_LEFT/targetPixelsX,OUTTAKE_LEFT,
OUTTAKE_LEFT/targetPixelsY,OUTTAKE_LEFT,
OUTTAKE_LEFT/heartbeat,OUTTAKE_LEFT,
